User Language,"Do you consent to participating in this research project? An answer of yes will continue to the survey, while an answer of no will end the survey.",What age group are you in?,What is your ethnicity?,What is the highest level of education you have completed?,What is your marital status?,Which of the following describes the area you live in?,What is your current employment status?,What type of mobile device do you use?,Do you work for health care?,What gender do you identify as?,Which language do you speak fluently? (Select all that apply),"In the past 12 months, how frequently have you accessed your health information on a mobile device?",How many times have you had your health information compromised on a mobile device?,"On a scale from 1-10 where 10 is the most concerned, how
concerned are you with the privacy and security of your health data on mobile
apps?",What kind of healthcare information do you receive on your mobile device?,What do you use mobile health data for most often?,Do you trust that your health data on your mobile app is secure?,What additional security measures would give you the most confidence in the security of your mobile health data? - Selected Choice,What additional security measures would give you the most confidence in the security of your mobile health data? - Please state - Text,Which discourages you the most from utilizing apps for accessing your mobile health data? - Selected Choice,Which discourages you the most from utilizing apps for accessing your mobile health data? - Please state - Text,"On a scale from 1-10 where 10 is the most useful, how useful do you find mobile health apps?",Do you read the app permissions before installing a new mobile health app?,"In your experience, do your healthcare providers educate you enough on proper use of their mobile health apps?",Would you be willing to pay for a mobile health app that had better security?,What do you think could be done to improve the security of the mobile health apps?
EN,Yes,45 - 54,White,Associates Degree,Married or domestic partnership,Suburban,Student,Android,No,Female,English,1 - 2 times,0 Times,9,Telehealth appointment,Other,No,Remote removal of mobile health data app on lost mobile device,,App speed,,5,Sometimes,No,Yes,Unsure
EN,Yes,25 - 34,White,Some College/no degree,Married or domestic partnership,Urban,Employed,None,No,Female,English,0 times,0 Times,10,Other,Other,No,Higher security method for mobile health data app,,App does not secure my personal data,,1,Every time,No,No,
EN,Yes,25 - 34,White,Some College/no degree,Married or domestic partnership,Suburban,Employed,Android,No,Female,English,7 or more times,0 Times,1,Appointment reminders,Review test results,Yes,customizable security settings,,App sends me too many alerts,,10,Sometimes,No,No,
EN,Yes,25 - 34,White,Some College/no degree,Married or domestic partnership,Suburban,Employed,Android,No,Male,English,1 - 2 times,0 Times,3,Appointment reminders,Confirm appointments,Yes,Higher security method for mobile health data app,,App sends me too many alerts,,5,Sometimes,No,No,
EN,Yes,35 - 44,Asian,Masters Degree,Married or domestic partnership,Suburban,Unemployed,Iphone,No,Female,English,3 - 6 times,0 Times,10,Test results,Review test results,Yes,customizable security settings,,App speed,,10,Sometimes,No,Yes,Updating the app and adding new security questions 
EN,Yes,35 - 44,White,Bachelor's degree,Married or domestic partnership,Suburban,Employed,Iphone,No,Female,English,1 - 2 times,0 Times,3,Appointment reminders,Confirm appointments,Yes,Higher security method for mobile health data app,,App does not secure my personal data,,5,Sometimes,No,No,
EN,Yes,45 - 54,Asian,Bachelor's degree,Married or domestic partnership,Suburban,Homemaker,Iphone,No,Female,English,1 - 2 times,0 Times,2,Appointment reminders,Confirm appointments,Yes,customizable security settings,,App sends me too many alerts,,4,Never,No,No,
EN,Yes,35 - 44,White,Some College/no degree,Married or domestic partnership,Suburban,Employed,Iphone,No,Female,English,1 - 2 times,1 time,10,Test results,Review test results,Yes,Regular password update,,Price of the app,,9,Sometimes,No,Yes,
EN,Yes,35 - 44,White,Some College/no degree,Married or domestic partnership,Suburban,Employed,Iphone,No,Female,English,0 times,0 Times,5,Appointment reminders,Confirm appointments,No,Regular password update,,App sends me too many alerts,,1,Sometimes,No,No,
EN,Yes,45 - 54,White,Some high school,Married or domestic partnership,Suburban,Retired,Iphone,No,Female,English,0 times,0 Times,10,Appointment reminders,Confirm appointments,No,Higher security method for mobile health data app,,Please state,N/a,1,Every time,Sometimes,No,N/a
EN,Yes,35 - 44,White,Some high school,Married or domestic partnership,Suburban,Employed,Android,Yes,Male,English,0 times,0 Times,5,Appointment reminders,Confirm appointments,No,Higher security method for mobile health data app,,App does not secure my personal data,,5,Every time,Sometimes,Yes,The issue lies in phone security not so much app
EN,Yes,,White,Trade/Technical/Vocational school,Married or domestic partnership,Suburban,Retired,Iphone,No,Female,English,0 times,0 Times,10,Medication refills,Confirm appointments,No,customizable security settings,,App does not secure my personal data,,1,Every time,No,No,Don’t trust them
